contig	final_kluster	seasonal_pattern	klusters_tree_HC	klusters_tree_TsClust	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	vc2_clus_1	vc2_clus_2	vc2_clus_3	vc2_clus_4	vc2_clus_5	vc2_clus_6	RaFah_host_prediction	label
2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__38159bp__000281||full	17s	seasonal	14	17	38156	No	NA	57	19	1	Medium-quality	Genome-fragment	62.54	AAI-based (high-confidence)	0	1	653	NA	NA	NA	NA	NA	Vibrio	2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__38159bp__000281||full_CDS_0015
2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__62423bp__000077||full	53s	seasonal	33	53	62419	No	NA	85	26	0	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	635	631	NA	NA	NA	NA	Vibrio	2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__62423bp__000077||full_CDS_0030
2019-May-viral-fraction__viral-spades-short__as-yet-unknown__33215bp__000175||full	6s	seasonal	14	6	33214	No	NA	61	22	0	Medium-quality	Genome-fragment	78.23	AAI-based (medium-confidence)	0	1	650	645	NA	NA	NA	NA	Acidovorax	2019-May-viral-fraction__viral-spades-short__as-yet-unknown__33215bp__000175||full_CDS_0032
2019-May-viral-fraction__viral-spades-short__as-yet-unknown__37814bp__000125||full	23s	seasonal	24	23	37813	No	NA	62	18	0	Medium-quality	Genome-fragment	69.61	AAI-based (high-confidence)	0	1	449	NA	NA	NA	NA	NA	Vibrio	2019-May-viral-fraction__viral-spades-short__as-yet-unknown__37814bp__000125||full_CDS_0038
2019-May-viral-fraction__viral-spades-short__as-yet-unknown__42588bp__000092||full	84s	seasonal	87	84	42552	No	NA	55	19	0	Medium-quality	Genome-fragment	67.81	AAI-based (high-confidence)	0	1	NA	NA	NA	NA	NA	NA	Vibrio	2019-May-viral-fraction__viral-spades-short__as-yet-unknown__42588bp__000092||full_CDS_0002
2019-Nov-viral-fraction__viral-spades-short__as-yet-unknown__32039bp__000345||full	34s	seasonal	94	34	31976	No	NA	41	16	0	Medium-quality	Genome-fragment	50.74	AAI-based (high-confidence)	0	1	281	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Nov-viral-fraction__viral-spades-short__as-yet-unknown__32039bp__000345||full_CDS_0024
2019-Nov-viral-fraction__viral-spades-short__as-yet-unknown__37851bp__000223||full	74s	seasonal	73	74	37849	No	NA	40	9	1	Medium-quality	Genome-fragment	62.38	AAI-based (high-confidence)	0	1	45	408	NA	NA	NA	NA	Polynucleobacter	2019-Nov-viral-fraction__viral-spades-short__as-yet-unknown__37851bp__000223||full_CDS_0033
2019-Nov-viral-fraction__viral-spades-short__as-yet-unknown__39089bp__000209||full	37s	seasonal	40	37	38801	No	NA	53	17	0	Medium-quality	Genome-fragment	63.84	AAI-based (high-confidence)	0	1	653	NA	NA	NA	NA	NA	Vibrio	2019-Nov-viral-fraction__viral-spades-short__as-yet-unknown__39089bp__000209||full_CDS_0011
2019-Sep-viral-fraction__viral-spades-short__as-yet-unknown__32015bp__000255||full	85s	seasonal	66	85	31982	No	NA	40	14	0	Medium-quality	Genome-fragment	52.04	AAI-based (high-confidence)	0	1	31	NA	NA	NA	NA	NA	Flavobacterium	2019-Sep-viral-fraction__viral-spades-short__as-yet-unknown__32015bp__000255||full_CDS_0034
2019-Sep-viral-fraction__viral-spades-short__as-yet-unknown__32195bp__000249||full	51s	seasonal	7	51	32192	No	NA	36	12	0	Medium-quality	Genome-fragment	51.34	AAI-based (medium-confidence)	0	1	32	NA	NA	NA	NA	NA	Methylocaldum	2019-Sep-viral-fraction__viral-spades-short__as-yet-unknown__32195bp__000249||full_CDS_0018
2019-Sep-viral-fraction__viral-spades-short__as-yet-unknown__34509bp__000199||full	85s	seasonal	66	85	34506	No	NA	53	19	0	Medium-quality	Genome-fragment	54.93	AAI-based (high-confidence)	0	1	217	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Sep-viral-fraction__viral-spades-short__as-yet-unknown__34509bp__000199||full_CDS_0006
2019-Sep-viral-fraction__viral-spades-short__as-yet-unknown__36181bp__000170||full	71s	seasonal	68	71	36181	No	NA	51	18	0	High-quality	High-quality	100	AAI-based (high-confidence)	0	1.01	1100	NA	NA	NA	NA	NA	ND	2019-Sep-viral-fraction__viral-spades-short__as-yet-unknown__36181bp__000170||full_CDS_0006
2020-Dec-viral-fraction__viral-spades-short__as-yet-unknown__20861bp__000651||full	79s	seasonal	26	79	20858	No	NA	35	12	0	Medium-quality	Genome-fragment	64.3	AAI-based (high-confidence)	0	1	591	NA	NA	NA	NA	NA	ND	2020-Dec-viral-fraction__viral-spades-short__as-yet-unknown__20861bp__000651||full_CDS_0027
2020-Dec-viral-fraction__viral-spades-short__as-yet-unknown__39993bp__000140||full	92s	seasonal	93	92	39989	No	NA	73	21	0	Medium-quality	Genome-fragment	66.46	AAI-based (high-confidence)	0	1	648	653	NA	NA	NA	NA	Candidatus Pelagibacter	2020-Dec-viral-fraction__viral-spades-short__as-yet-unknown__39993bp__000140||full_CDS_0011
2020-Dec-viral-fraction__viral-spades-short__as-yet-unknown__91999bp__000009||full	44s	seasonal	91	44	91998	No	NA	120	10	2	Medium-quality	Genome-fragment	53.02	AAI-based (high-confidence)	0	1	684	NA	NA	NA	NA	NA	Flavobacterium	2020-Dec-viral-fraction__viral-spades-short__as-yet-unknown__91999bp__000009||full_CDS_0061
2020-Feb-viral-fraction__viral-spades-short__as-yet-unknown__17467bp__001296||full	8s	seasonal	95	8	17464	No	NA	29	10	0	Medium-quality	Genome-fragment	50.52	AAI-based (high-confidence)	0	1	966	NA	NA	NA	NA	NA	ND	2020-Feb-viral-fraction__viral-spades-short__as-yet-unknown__17467bp__001296||full_CDS_0009
2020-Feb-viral-fraction__viral-spades-short__as-yet-unknown__21860bp__000808||full	63s	seasonal	54	63	21824	No	NA	32	12	0	Medium-quality	Genome-fragment	65.67	AAI-based (high-confidence)	0	1	NA	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2020-Feb-viral-fraction__viral-spades-short__as-yet-unknown__21860bp__000808||full_CDS_0029
2020-Feb-viral-fraction__viral-spades-short__as-yet-unknown__33228bp__000282||full	93s	seasonal	94	93	33225	No	NA	47	11	1	Medium-quality	Genome-fragment	56.28	AAI-based (high-confidence)	0	1	1385	498	NA	NA	NA	NA	Acidovorax	2020-Feb-viral-fraction__viral-spades-short__as-yet-unknown__33228bp__000282||full_CDS_0045
2020-Feb-viral-fraction__viral-spades-short__as-yet-unknown__39255bp__000176||full	51s	seasonal	66	51	39220	No	NA	50	18	0	Medium-quality	Genome-fragment	62.35	AAI-based (high-confidence)	0	1	32	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2020-Feb-viral-fraction__viral-spades-short__as-yet-unknown__39255bp__000176||full_CDS_0009
2020-Jan-viral-fraction__viral-spades-short__as-yet-unknown__18975bp__001006||full	84s	seasonal	59	84	18906	No	NA	26	8	0	Medium-quality	Genome-fragment	57.44	AAI-based (high-confidence)	0	1	33	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2020-Jan-viral-fraction__viral-spades-short__as-yet-unknown__18975bp__001006||full_CDS_0020
2020-Jan-viral-fraction__viral-spades-short__as-yet-unknown__30484bp__000329||full	23s	seasonal	24	23	30482	No	NA	48	16	0	Medium-quality	Genome-fragment	53.49	AAI-based (high-confidence)	0	1	449	NA	NA	NA	NA	NA	Vibrio	2020-Jan-viral-fraction__viral-spades-short__as-yet-unknown__30484bp__000329||full_CDS_0014
2020-Jan-viral-fraction__viral-spades-short__as-yet-unknown__35255bp__000227||full	8s	seasonal	7	8	35253	No	NA	46	17	0	Medium-quality	Genome-fragment	57.99	AAI-based (high-confidence)	0	1	217	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2020-Jan-viral-fraction__viral-spades-short__as-yet-unknown__35255bp__000227||full_CDS_0015
2020-Jan-viral-fraction__viral-spades-short__as-yet-unknown__35417bp__000224||full	84s	seasonal	59	84	35414	No	NA	53	18	0	Medium-quality	Genome-fragment	57.18	AAI-based (high-confidence)	0	1	28	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2020-Jan-viral-fraction__viral-spades-short__as-yet-unknown__35417bp__000224||full_CDS_0016
2020-Jan-viral-fraction__viral-spades-short__as-yet-unknown__50410bp__000084||full	17s	seasonal	14	17	50376	No	NA	69	23	1	Medium-quality	Genome-fragment	82.17	AAI-based (high-confidence)	0	1	653	NA	NA	NA	NA	NA	Vibrio	2020-Jan-viral-fraction__viral-spades-short__as-yet-unknown__50410bp__000084||full_CDS_0044
2020-Jul-viral-fraction__viral-spades-short__as-yet-unknown__34828bp__000216||full	16s	seasonal	19	16	34825	No	NA	55	18	0	Medium-quality	Genome-fragment	57.4	AAI-based (high-confidence)	0	1	653	648	NA	NA	NA	NA	Candidatus Pelagibacter	2020-Jul-viral-fraction__viral-spades-short__as-yet-unknown__34828bp__000216||full_CDS_0025
2020-Jul-viral-fraction__viral-spades-short__as-yet-unknown__63605bp__000032||full	16s	seasonal	92	16	63604	No	NA	93	30	0	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	653	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2020-Jul-viral-fraction__viral-spades-short__as-yet-unknown__63605bp__000032||full_CDS_0055
2020-Mar-viral-fraction__viral-spades-short__as-yet-unknown__23601bp__000696||full	6ns	non.seasonal	6	6	23599	No	NA	52	10	0	Medium-quality	Genome-fragment	50.28	AAI-based (high-confidence)	0	1	650	645	NA	NA	NA	NA	Acidovorax	2020-Mar-viral-fraction__viral-spades-short__as-yet-unknown__23601bp__000696||full_CDS_0006
2020-Mar-viral-fraction__viral-spades-short__as-yet-unknown__30981bp__000387||full	23s	seasonal	24	23	30977	No	NA	37	10	0	Medium-quality	Genome-fragment	51.14	AAI-based (high-confidence)	0	1	648	NA	NA	NA	NA	NA	Methylocaldum	2020-Mar-viral-fraction__viral-spades-short__as-yet-unknown__30981bp__000387||full_CDS_0019
2020-Mar-viral-fraction__viral-spades-short__as-yet-unknown__58922bp__000053||full	95s	seasonal	24	95	58918	No	NA	81	28	0	High-quality	High-quality	93.52	AAI-based (high-confidence)	0	1	NA	NA	NA	NA	NA	NA	Methylocaldum	2020-Mar-viral-fraction__viral-spades-short__as-yet-unknown__58922bp__000053||full_CDS_0036
2020-Nov-viral-fraction__viral-spades-short__as-yet-unknown__33541bp__000274||full	64s	seasonal	62	64	33457	No	NA	42	17	0	Medium-quality	Genome-fragment	56.59	AAI-based (high-confidence)	0	1	28	NA	NA	NA	NA	NA	Vibrio	2020-Nov-viral-fraction__viral-spades-short__as-yet-unknown__33541bp__000274||full_CDS_0028
2020-Nov-viral-fraction__viral-spades-short__as-yet-unknown__33541bp__000274||full	64s	seasonal	62	64	33457	No	NA	42	17	0	Medium-quality	Genome-fragment	56.59	AAI-based (high-confidence)	0	1	28	NA	NA	NA	NA	NA	Vibrio	2020-Nov-viral-fraction__viral-spades-short__as-yet-unknown__33541bp__000274||full_CDS_0029
2020-Nov-viral-fraction__viral-spades-short__as-yet-unknown__36641bp__000221||full	92s	seasonal	93	92	36360	No	NA	47	18	0	Medium-quality	Genome-fragment	57.93	AAI-based (high-confidence)	0	1	217	NA	NA	NA	NA	NA	ND	2020-Nov-viral-fraction__viral-spades-short__as-yet-unknown__36641bp__000221||full_CDS_0040
2020-Oct-viral-fraction__viral-spades-short__as-yet-unknown__29457bp__000301||full	87s	seasonal	82	87	29456	No	NA	48	18	0	Medium-quality	Genome-fragment	52.65	AAI-based (high-confidence)	0	1	1007	NA	NA	NA	NA	NA	Caulobacter	2020-Oct-viral-fraction__viral-spades-short__as-yet-unknown__29457bp__000301||full_CDS_0033
2020-Oct-viral-fraction__viral-spades-short__as-yet-unknown__35787bp__000175||full	89s	seasonal	90	89	35785	No	NA	48	19	0	Medium-quality	Genome-fragment	57.5	AAI-based (high-confidence)	0	1	33	217	NA	NA	NA	NA	Candidatus Pelagibacter	2020-Oct-viral-fraction__viral-spades-short__as-yet-unknown__35787bp__000175||full_CDS_0031
2020-Oct-viral-fraction__viral-spades-short__as-yet-unknown__40654bp__000130||full	47s	seasonal	8	47	40651	No	NA	56	21	0	Medium-quality	Genome-fragment	66.2	AAI-based (high-confidence)	0	1	28	NA	NA	NA	NA	NA	Acidovorax	2020-Oct-viral-fraction__viral-spades-short__as-yet-unknown__40654bp__000130||full_CDS_0046
2020-Oct-viral-fraction__viral-spades-short__as-yet-unknown__44987bp__000099||full	93s	seasonal	94	93	44836	No	NA	60	18	0	Medium-quality	Genome-fragment	75.42	AAI-based (high-confidence)	0	1	28	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2020-Oct-viral-fraction__viral-spades-short__as-yet-unknown__44987bp__000099||full_CDS_0053
2020-Oct-viral-fraction__viral-spades-short__as-yet-unknown__54008bp__000058||full	39s	seasonal	82	39	53881	No	NA	67	16	0	High-quality	High-quality	92.94	AAI-based (medium-confidence)	0	1	1914	NA	NA	NA	NA	NA	Cutibacterium	2020-Oct-viral-fraction__viral-spades-short__as-yet-unknown__54008bp__000058||full_CDS_0058
2021-Apr-viral-fraction__viral-spades-short__as-yet-unknown__48987bp__000075||full	97s	seasonal	92	97	48984	No	NA	68	23	0	Medium-quality	Genome-fragment	84.43	AAI-based (high-confidence)	0	1	28	NA	NA	NA	NA	NA	Acidovorax	2021-Apr-viral-fraction__viral-spades-short__as-yet-unknown__48987bp__000075||full_CDS_0009
2021-Apr-viral-fraction__viral-spades-short__as-yet-unknown__48987bp__000075||full	97s	seasonal	92	97	48984	No	NA	68	23	0	Medium-quality	Genome-fragment	84.43	AAI-based (high-confidence)	0	1	28	NA	NA	NA	NA	NA	Acidovorax	2021-Apr-viral-fraction__viral-spades-short__as-yet-unknown__48987bp__000075||full_CDS_0010
2021-Jan-viral-fraction__viral-spades-short__as-yet-unknown__20063bp__000742||full	79s	seasonal	26	79	19971	No	NA	39	10	0	Medium-quality	Genome-fragment	61.64	AAI-based (high-confidence)	0	1	591	NA	NA	NA	NA	NA	ND	2021-Jan-viral-fraction__viral-spades-short__as-yet-unknown__20063bp__000742||full_CDS_0020
2021-Jan-viral-fraction__viral-spades-short__as-yet-unknown__41531bp__000144||full	38s	seasonal	12	38	41392	No	NA	58	25	0	Medium-quality	Genome-fragment	66.75	AAI-based (high-confidence)	0	1	28	NA	NA	NA	NA	NA	Acidovorax	2021-Jan-viral-fraction__viral-spades-short__as-yet-unknown__41531bp__000144||full_CDS_0020
2021-Jan-viral-fraction__viral-spades-short__as-yet-unknown__47737bp__000093||full	92s	seasonal	93	92	47699	No	NA	80	24	0	Medium-quality	Genome-fragment	78.48	AAI-based (high-confidence)	0	1	648	653	NA	NA	NA	NA	Vibrio	2021-Jan-viral-fraction__viral-spades-short__as-yet-unknown__47737bp__000093||full_CDS_0053
2021-Jan-viral-fraction__viral-spades-short__as-yet-unknown__54136bp__000059||full	8s	seasonal	95	8	54133	No	NA	84	26	1	Medium-quality	Genome-fragment	87.33	AAI-based (high-confidence)	0	1	29	NA	NA	NA	NA	NA	Acidovorax	2021-Jan-viral-fraction__viral-spades-short__as-yet-unknown__54136bp__000059||full_CDS_0047
2021-Jan-viral-fraction__viral-spades-short__as-yet-unknown__58152bp__000044||full	85s	seasonal	66	85	58150	No	NA	88	30	0	High-quality	High-quality	93.46	AAI-based (high-confidence)	0	1	28	NA	NA	NA	NA	NA	Vibrio	2021-Jan-viral-fraction__viral-spades-short__as-yet-unknown__58152bp__000044||full_CDS_0011
2021-Jan-viral-fraction__viral-spades-short__as-yet-unknown__66016bp__000030||full	61s	seasonal	19	61	66014	No	NA	97	34	0	High-quality	High-quality	100	AAI-based (high-confidence)	0	1.12	648	NA	NA	NA	NA	NA	Vibrio	2021-Jan-viral-fraction__viral-spades-short__as-yet-unknown__66016bp__000030||full_CDS_0078
2021-Mar-viral-fraction__viral-spades-short__as-yet-unknown__56672bp__000045||full	64s	seasonal	64	64	56545	No	NA	88	29	0	High-quality	High-quality	93	AAI-based (high-confidence)	0	1	653	648	NA	NA	NA	NA	Vibrio	2021-Mar-viral-fraction__viral-spades-short__as-yet-unknown__56672bp__000045||full_CDS_0061
2021-Mar-viral-fraction__viral-spades-short__as-yet-unknown__59380bp__000031||full	16s	seasonal	19	16	59277	No	NA	84	29	0	High-quality	High-quality	97.4	AAI-based (high-confidence)	0	1	28	NA	NA	NA	NA	NA	Vibrio	2021-Mar-viral-fraction__viral-spades-short__as-yet-unknown__59380bp__000031||full_CDS_0017
2021-May-viral-fraction__viral-spades-short__as-yet-unknown__30547bp__000202||full	16s	seasonal	19	16	30483	No	NA	56	17	0	Medium-quality	Genome-fragment	50.52	AAI-based (high-confidence)	0	1	653	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2021-May-viral-fraction__viral-spades-short__as-yet-unknown__30547bp__000202||full_CDS_0017
2021-May-viral-fraction__viral-spades-short__as-yet-unknown__31284bp__000186||full	85s	seasonal	66	85	31245	No	NA	42	15	0	Medium-quality	Genome-fragment	50.47	AAI-based (high-confidence)	0	1	31	647	NA	NA	NA	NA	Candidatus Pelagibacter	2021-May-viral-fraction__viral-spades-short__as-yet-unknown__31284bp__000186||full_CDS_0039
OMZ_1062_10_0.01_0000001_vscat_2__len_109145	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_0086
OMZ_1062_10_0.3_0000001_vscat_2__len_141461	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_0366
HTVC023P	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_1917
HTVC008M	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_2008
AP013701_AP013701G17	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_5470
AP013767_AP013767G19	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_5572
AP014259_AP014259	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_6588
AP014381_AP014381	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_8132
AP013769_AP013769G19	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_9199
AP014328_AP014328	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_10230
AP013624_AP013624G15	999999s	pelagiphage_reference	99999	99999	99999	No	NA	9999999	999999	99999	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ADYNNLMQ_CDS_10290
