contig	final_kluster	seasonal_pattern	klusters_tree_HC	klusters_tree_TsClust	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	vc2_clus_1	vc2_clus_2	vc2_clus_3	vc2_clus_4	vc2_clus_5	vc2_clus_6	RaFah_host_prediction	CDS
2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__36914bp__000275||full	1s	seasonal	32	1	36910	No	NA	56	21	0	Medium-quality	Genome-fragment	61.15	AAI-based (high-confidence)	0	1	653	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__36914bp__000275||full_CDS_0027
2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__36914bp__000275||full	1s	seasonal	32	1	36910	No	NA	56	21	0	Medium-quality	Genome-fragment	61.15	AAI-based (high-confidence)	0	1	653	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__36914bp__000275||full_CDS_0040
2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__37497bp__000264||full	30s	seasonal	34	30	37068	No	NA	40	8	0	Medium-quality	Genome-fragment	61.64	AAI-based (high-confidence)	0	1	45	408	NA	NA	NA	NA	Hyphomonas	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__37497bp__000264||full_CDS_0007
2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__44844bp__000186||full	48s	seasonal	50	48	44539	No	NA	62	19	0	Medium-quality	Genome-fragment	82.02	AAI-based (high-confidence)	0	1	673	NA	NA	NA	NA	NA	ND	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__44844bp__000186||full_CDS_0061
2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__47347bp__000151||full	23s	seasonal	24	23	47344	No	NA	67	22	0	Medium-quality	Genome-fragment	89.9	AAI-based (high-confidence)	0	1	449	NA	NA	NA	NA	NA	Pseudomonas	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__47347bp__000151||full_CDS_0044
2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__51748bp__000108||full	49s	seasonal	51	49	51746	No	NA	74	29	0	High-quality	High-quality	97.34	AAI-based (high-confidence)	0	1.02	935	NA	NA	NA	NA	NA	Vibrio	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__51748bp__000108||full_CDS_0065
2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__54338bp__000088||full	15ns	non.seasonal	16	15	54335	No	NA	76	26	0	Medium-quality	Genome-fragment	85.67	AAI-based (high-confidence)	0	1	213	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__54338bp__000088||full_CDS_0072
2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__54338bp__000088||full	15ns	non.seasonal	16	15	54335	No	NA	76	26	0	Medium-quality	Genome-fragment	85.67	AAI-based (high-confidence)	0	1	213	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__54338bp__000088||full_CDS_0073
2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__54338bp__000088||full	15ns	non.seasonal	16	15	54335	No	NA	76	26	0	Medium-quality	Genome-fragment	85.67	AAI-based (high-confidence)	0	1	213	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__54338bp__000088||full_CDS_0035
2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__70300bp__000044||full	52s	seasonal	53	52	69940	No	NA	70	10	0	Medium-quality	Genome-fragment	55.86	HMM-based (lower-bound)	0	1.01	2411	NA	NA	NA	NA	NA	ND	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__70300bp__000044||full_CDS_0013
2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__71533bp__000040||full	5s	seasonal	15	5	71406	No	NA	100	8	0	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	89	NA	NA	NA	NA	NA	ND	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__71533bp__000040||full_CDS_0053
2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__172774bp__000001||full	11s	seasonal	4	11	172772	No	NA	185	29	12	High-quality	High-quality	93.42	AAI-based (high-confidence)	0	1	NA	NA	NA	NA	NA	NA	Flavobacterium	2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__172774bp__000001||full_CDS_0105
2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__172774bp__000001||full	11s	seasonal	4	11	172772	No	NA	185	29	12	High-quality	High-quality	93.42	AAI-based (high-confidence)	0	1	NA	NA	NA	NA	NA	NA	Flavobacterium	2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__172774bp__000001||full_CDS_0104
2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__172774bp__000001||full	11s	seasonal	4	11	172772	No	NA	185	29	12	High-quality	High-quality	93.42	AAI-based (high-confidence)	0	1	NA	NA	NA	NA	NA	NA	Flavobacterium	2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__172774bp__000001||full_CDS_0106
2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__172774bp__000001||full	11s	seasonal	4	11	172772	No	NA	185	29	12	High-quality	High-quality	93.42	AAI-based (high-confidence)	0	1	NA	NA	NA	NA	NA	NA	Flavobacterium	2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__172774bp__000001||full_CDS_0102
2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__172774bp__000001||full	11s	seasonal	4	11	172772	No	NA	185	29	12	High-quality	High-quality	93.42	AAI-based (high-confidence)	0	1	NA	NA	NA	NA	NA	NA	Flavobacterium	2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__172774bp__000001||full_CDS_0103
2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__27442bp__000414||full	65s	seasonal	50	65	27439	No	NA	31	12	0	Medium-quality	Genome-fragment	50.73	AAI-based (high-confidence)	0	1	673	NA	NA	NA	NA	NA	Nostoc	2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__27442bp__000414||full_CDS_0005
2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__27442bp__000414||full	65s	seasonal	50	65	27439	No	NA	31	12	0	Medium-quality	Genome-fragment	50.73	AAI-based (high-confidence)	0	1	673	NA	NA	NA	NA	NA	Nostoc	2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__27442bp__000414||full_CDS_0006
2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__32831bp__000267||full	29s	seasonal	30	29	32157	No	NA	32	15	1	Medium-quality	Genome-fragment	61.37	AAI-based (high-confidence)	0	1	1575	1720	NA	NA	NA	NA	ND	2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__32831bp__000267||full_CDS_0017
2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__34416bp__000235||full	18s	seasonal	20	18	34379	No	NA	50	18	0	Medium-quality	Genome-fragment	63.24	AAI-based (high-confidence)	0	1	935	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__34416bp__000235||full_CDS_0016
2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__34416bp__000235||full	18s	seasonal	20	18	34379	No	NA	50	18	0	Medium-quality	Genome-fragment	63.24	AAI-based (high-confidence)	0	1	935	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__34416bp__000235||full_CDS_0008
2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__37230bp__000196||full	69s	seasonal	56	69	37228	No	NA	50	14	0	Medium-quality	Genome-fragment	64.77	AAI-based (medium-confidence)	0	1	2558	1841	1746	NA	NA	NA	Caulobacter	2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__37230bp__000196||full_CDS_0050
2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__38940bp__000170||full	62s	seasonal	57	62	38936	No	NA	60	25	1	Medium-quality	Genome-fragment	85.44	AAI-based (high-confidence)	0	1	1060	640	NA	NA	NA	NA	ND	2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__38940bp__000170||full_CDS_0028
2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__40839bp__000149||full	1s	seasonal	10	1	40839	No	NA	59	19	0	Medium-quality	Genome-fragment	67.01	AAI-based (high-confidence)	0	1	653	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__40839bp__000149||full_CDS_0055
2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__40839bp__000149||full	1s	seasonal	10	1	40839	No	NA	59	19	0	Medium-quality	Genome-fragment	67.01	AAI-based (high-confidence)	0	1	653	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__40839bp__000149||full_CDS_0048
2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__40839bp__000149||full	1s	seasonal	10	1	40839	No	NA	59	19	0	Medium-quality	Genome-fragment	67.01	AAI-based (high-confidence)	0	1	653	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__40839bp__000149||full_CDS_0038
2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__52796bp__000065||full	46s	seasonal	70	46	52792	No	NA	76	26	1	Medium-quality	Genome-fragment	89.01	AAI-based (high-confidence)	0	1	526	1065	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__52796bp__000065||full_CDS_0036
2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__52796bp__000065||full	46s	seasonal	70	46	52792	No	NA	76	26	1	Medium-quality	Genome-fragment	89.01	AAI-based (high-confidence)	0	1	526	1065	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__52796bp__000065||full_CDS_0035
2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__52796bp__000065||full	46s	seasonal	70	46	52792	No	NA	76	26	1	Medium-quality	Genome-fragment	89.01	AAI-based (high-confidence)	0	1	526	1065	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__52796bp__000065||full_CDS_0034
2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__52796bp__000065||full	46s	seasonal	70	46	52792	No	NA	76	26	1	Medium-quality	Genome-fragment	89.01	AAI-based (high-confidence)	0	1	526	1065	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__52796bp__000065||full_CDS_0018
2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__198008bp__000002||full	11ns	non.seasonal	4	11	197889	No	NA	143	52	9	Medium-quality	Genome-fragment	55.04	AAI-based (medium-confidence)	0	1	NA	NA	NA	NA	NA	NA	Candidatus Ruthia	2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__198008bp__000002||full_CDS_0126
2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__203785bp__000001||full	78s	seasonal	83	78	203781	No	NA	227	37	20	Medium-quality	Genome-fragment	71.18	AAI-based (medium-confidence)	0	1.02	NA	NA	NA	NA	NA	NA	Flavobacterium	2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__203785bp__000001||full_CDS_0031
2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__23862bp__000619||full	20ns	non.seasonal	21	20	23859	No	NA	30	14	0	Medium-quality	Genome-fragment	64.28	AAI-based (high-confidence)	0	1	1450	NA	NA	NA	NA	NA	Agrobacterium	2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__23862bp__000619||full_CDS_0009
2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__30886bp__000352||full	84s	seasonal	87	84	30833	No	NA	39	11	0	Medium-quality	Genome-fragment	51.46	AAI-based (high-confidence)	0	1	648	653	NA	NA	NA	NA	Methylocaldum	2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__30886bp__000352||full_CDS_0018
2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__30886bp__000352||full	84s	seasonal	87	84	30833	No	NA	39	11	0	Medium-quality	Genome-fragment	51.46	AAI-based (high-confidence)	0	1	648	653	NA	NA	NA	NA	Methylocaldum	2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__30886bp__000352||full_CDS_0029
2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__30886bp__000352||full	84s	seasonal	87	84	30833	No	NA	39	11	0	Medium-quality	Genome-fragment	51.46	AAI-based (high-confidence)	0	1	648	653	NA	NA	NA	NA	Methylocaldum	2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__30886bp__000352||full_CDS_0024
2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__32935bp__000293||full	85s	seasonal	66	85	32860	No	NA	33	12	0	Medium-quality	Genome-fragment	51.11	AAI-based (high-confidence)	0	1	647	30	31	NA	NA	NA	Candidatus Pelagibacter	2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__32935bp__000293||full_CDS_0022
2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__32935bp__000293||full	85s	seasonal	66	85	32860	No	NA	33	12	0	Medium-quality	Genome-fragment	51.11	AAI-based (high-confidence)	0	1	647	30	31	NA	NA	NA	Candidatus Pelagibacter	2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__32935bp__000293||full_CDS_0023
2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__37554bp__000200||full	86s	seasonal	80	86	37360	No	NA	49	19	0	Medium-quality	Genome-fragment	61.22	AAI-based (high-confidence)	0	1	653	NA	NA	NA	NA	NA	Vibrio	2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__37554bp__000200||full_CDS_0018
2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__37554bp__000200||full	86s	seasonal	80	86	37360	No	NA	49	19	0	Medium-quality	Genome-fragment	61.22	AAI-based (high-confidence)	0	1	653	NA	NA	NA	NA	NA	Vibrio	2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__37554bp__000200||full_CDS_0027
2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__41281bp__000157||full	39s	seasonal	82	39	41127	No	NA	47	11	0	Medium-quality	Genome-fragment	70.94	AAI-based (medium-confidence)	0	1	1914	NA	NA	NA	NA	NA	Cutibacterium	2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__41281bp__000157||full_CDS_0036
2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__41281bp__000157||full	39s	seasonal	82	39	41127	No	NA	47	11	0	Medium-quality	Genome-fragment	70.94	AAI-based (medium-confidence)	0	1	1914	NA	NA	NA	NA	NA	Cutibacterium	2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__41281bp__000157||full_CDS_0037
2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__48000bp__000110||full	76s	seasonal	67	76	48000	No	NA	65	22	0	High-quality	High-quality	91.28	AAI-based (high-confidence)	0	1	449	NA	NA	NA	NA	NA	Pseudomonas	2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__48000bp__000110||full_CDS_0043
2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__58351bp__000066||full	72s	seasonal	74	72	58200	No	NA	83	32	0	High-quality	High-quality	98.22	AAI-based (high-confidence)	0	1	28	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__58351bp__000066||full_CDS_0053
2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__58351bp__000066||full	72s	seasonal	74	72	58200	No	NA	83	32	0	High-quality	High-quality	98.22	AAI-based (high-confidence)	0	1	28	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__58351bp__000066||full_CDS_0028
2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__58351bp__000066||full	72s	seasonal	74	72	58200	No	NA	83	32	0	High-quality	High-quality	98.22	AAI-based (high-confidence)	0	1	28	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__58351bp__000066||full_CDS_0050
2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__58351bp__000066||full	72s	seasonal	74	72	58200	No	NA	83	32	0	High-quality	High-quality	98.22	AAI-based (high-confidence)	0	1	28	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__58351bp__000066||full_CDS_0025
2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__58861bp__000062||full	89s	seasonal	90	89	58656	No	NA	90	37	0	High-quality	High-quality	97	AAI-based (high-confidence)	0	1	54	NA	NA	NA	NA	NA	Vibrio	2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__58861bp__000062||full_CDS_0088
2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__79273bp__000025||full	11ns	non.seasonal	13	11	79098	No	NA	86	46	2	Medium-quality	Genome-fragment	53.7	AAI-based (high-confidence)	0	1	NA	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__79273bp__000025||full_CDS_0004
2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__79273bp__000025||full	11ns	non.seasonal	13	11	79098	No	NA	86	46	2	Medium-quality	Genome-fragment	53.7	AAI-based (high-confidence)	0	1	NA	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__79273bp__000025||full_CDS_0031
2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__79273bp__000025||full	11ns	non.seasonal	13	11	79098	No	NA	86	46	2	Medium-quality	Genome-fragment	53.7	AAI-based (high-confidence)	0	1	NA	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__79273bp__000025||full_CDS_0032
2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__79273bp__000025||full	11ns	non.seasonal	13	11	79098	No	NA	86	46	2	Medium-quality	Genome-fragment	53.7	AAI-based (high-confidence)	0	1	NA	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__79273bp__000025||full_CDS_0088
2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__79273bp__000025||full	11ns	non.seasonal	13	11	79098	No	NA	86	46	2	Medium-quality	Genome-fragment	53.7	AAI-based (high-confidence)	0	1	NA	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__79273bp__000025||full_CDS_0030
2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__20836bp__000891||full	56s	seasonal	20	56	20719	No	NA	39	10	0	Medium-quality	Genome-fragment	54.32	AAI-based (high-confidence)	0	1	1164	NA	NA	NA	NA	NA	Nostoc	2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__20836bp__000891||full_CDS_0029
2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__24595bp__000640||full	12s	seasonal	12	12	24592	No	NA	46	8	0	Medium-quality	Genome-fragment	63.41	AAI-based (high-confidence)	0	1	NA	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__24595bp__000640||full_CDS_0040
2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__24595bp__000640||full	12s	seasonal	12	12	24592	No	NA	46	8	0	Medium-quality	Genome-fragment	63.41	AAI-based (high-confidence)	0	1	NA	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__24595bp__000640||full_CDS_0041
2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__31645bp__000377||full	42s	seasonal	67	42	31641	No	NA	38	9	1	Medium-quality	Genome-fragment	51.54	AAI-based (high-confidence)	0	1	653	NA	NA	NA	NA	NA	Vibrio	2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__31645bp__000377||full_CDS_0005
2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__31645bp__000377||full	42s	seasonal	67	42	31641	No	NA	38	9	1	Medium-quality	Genome-fragment	51.54	AAI-based (high-confidence)	0	1	653	NA	NA	NA	NA	NA	Vibrio	2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__31645bp__000377||full_CDS_0032
