contig	final_kluster	seasonal_pattern	klusters_tree_HC	klusters_tree_TsClust	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	vc2_clus_1	vc2_clus_2	vc2_clus_3	vc2_clus_4	vc2_clus_5	vc2_clus_6	RaFah_host_prediction	label
2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__54146bp__000090||full	5s	seasonal	15	5	54143	No	NA	71	7	1	High-quality	High-quality	99.18	AAI-based (high-confidence)	0	1	767	NA	NA	NA	NA	NA	Roseburia	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__54146bp__000090||full_CDS_0006
2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__54338bp__000088||full	15ns	non.seasonal	16	15	54335	No	NA	76	26	0	Medium-quality	Genome-fragment	85.67	AAI-based (high-confidence)	0	1	213	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2018-Nov-viral-fraction__viral-spades-short__as-yet-unknown__54338bp__000088||full_CDS_0057
2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__29347bp__000357||full	16ns	non.seasonal	17	16	29268	No	NA	36	8	0	Medium-quality	Genome-fragment	51.32	AAI-based (high-confidence)	0	1	1762	NA	NA	NA	NA	NA	Vibrio	2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__29347bp__000357||full_CDS_0014
2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__31925bp__000298||full	29s	seasonal	30	29	31923	No	NA	35	18	0	Medium-quality	Genome-fragment	50.25	AAI-based (high-confidence)	0	1	984	NA	NA	NA	NA	NA	Vibrio	2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__31925bp__000298||full_CDS_0024
2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__32660bp__000276||full	56s	seasonal	37	56	32659	No	NA	47	13	0	Medium-quality	Genome-fragment	53.49	AAI-based (high-confidence)	0	1	631	NA	NA	NA	NA	NA	Methylocaldum	2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__32660bp__000276||full_CDS_0033
2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__34416bp__000235||full	18s	seasonal	20	18	34379	No	NA	50	18	0	Medium-quality	Genome-fragment	63.24	AAI-based (high-confidence)	0	1	935	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__34416bp__000235||full_CDS_0020
2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__38199bp__000182||full	13ns	non.seasonal	18	13	38195	No	NA	47	15	0	Medium-quality	Genome-fragment	69.58	AAI-based (high-confidence)	0	1	NA	NA	NA	NA	NA	NA	Methylocaldum	2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__38199bp__000182||full_CDS_0009
2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__38990bp__000169||full	29s	seasonal	38	29	38988	No	NA	64	29	0	Medium-quality	Genome-fragment	67.28	AAI-based (high-confidence)	0	1	22	23	NA	NA	NA	NA	Vibrio	2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__38990bp__000169||full_CDS_0022
2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__40400bp__000153||full	56s	seasonal	37	56	40398	No	NA	44	13	0	Medium-quality	Genome-fragment	68.69	AAI-based (high-confidence)	0	1	36	1763	NA	NA	NA	NA	Methylocaldum	2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__40400bp__000153||full_CDS_0014
2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__42268bp__000128||full	23s	seasonal	69	23	42267	No	NA	61	19	0	Medium-quality	Genome-fragment	74.41	AAI-based (high-confidence)	0	1	531	523	NA	NA	NA	NA	Vibrio	2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__42268bp__000128||full_CDS_0013
2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__43907bp__000110||full	16ns	non.seasonal	17	16	43860	No	NA	60	17	0	Medium-quality	Genome-fragment	80.55	AAI-based (high-confidence)	0	1	935	NA	NA	NA	NA	NA	Methylocaldum	2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__43907bp__000110||full_CDS_0050
2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__52796bp__000065||full	46s	seasonal	70	46	52792	No	NA	76	26	1	Medium-quality	Genome-fragment	89.01	AAI-based (high-confidence)	0	1	526	1065	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__52796bp__000065||full_CDS_0051
2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__57052bp__000051||full	18s	seasonal	20	18	56823	No	NA	70	24	0	High-quality	High-quality	97.26	AAI-based (high-confidence)	0	1	1763	527	36	NA	NA	NA	Methylocaldum	2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__57052bp__000051||full_CDS_0046
2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__58638bp__000047||full	60s	seasonal	71	60	58600	No	NA	67	28	0	High-quality	High-quality	95.65	AAI-based (medium-confidence)	0	1	1021	NA	NA	NA	NA	NA	Vibrio	2019-Apr-viral-fraction__viral-spades-short__as-yet-unknown__58638bp__000047||full_CDS_0006
2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__26150bp__000510||full	20ns	non.seasonal	24	20	26136	No	NA	30	10	0	Medium-quality	Genome-fragment	62.88	AAI-based (high-confidence)	0	1.01	141	NA	NA	NA	NA	NA	Flavobacterium	2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__26150bp__000510||full_CDS_0014
2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__29709bp__000386||full	19ns	non.seasonal	26	19	29709	No	NA	39	6	0	Medium-quality	Genome-fragment	76.91	AAI-based (medium-confidence)	0	1	NA	NA	NA	NA	NA	NA	Streptomyces	2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__29709bp__000386||full_CDS_0031
2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__30886bp__000352||full	84s	seasonal	87	84	30833	No	NA	39	11	0	Medium-quality	Genome-fragment	51.46	AAI-based (high-confidence)	0	1	648	653	NA	NA	NA	NA	Methylocaldum	2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__30886bp__000352||full_CDS_0002
2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__32935bp__000293||full	85s	seasonal	66	85	32860	No	NA	33	12	0	Medium-quality	Genome-fragment	51.11	AAI-based (high-confidence)	0	1	647	30	31	NA	NA	NA	Candidatus Pelagibacter	2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__32935bp__000293||full_CDS_0005
2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__37554bp__000200||full	86s	seasonal	80	86	37360	No	NA	49	19	0	Medium-quality	Genome-fragment	61.22	AAI-based (high-confidence)	0	1	653	NA	NA	NA	NA	NA	Vibrio	2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__37554bp__000200||full_CDS_0043
2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__46305bp__000118||full	83s	seasonal	86	83	46302	No	NA	58	26	0	Medium-quality	Genome-fragment	77.11	AAI-based (high-confidence)	0	1	648	NA	NA	NA	NA	NA	Vibrio	2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__46305bp__000118||full_CDS_0053
2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__48117bp__000109||full	22ns	non.seasonal	24	22	48046	No	NA	71	24	0	Medium-quality	Genome-fragment	82.95	AAI-based (high-confidence)	0	1	23	NA	NA	NA	NA	NA	Vibrio	2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__48117bp__000109||full_CDS_0056
2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__58351bp__000066||full	72s	seasonal	74	72	58200	No	NA	83	32	0	High-quality	High-quality	98.22	AAI-based (high-confidence)	0	1	28	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__58351bp__000066||full_CDS_0031
2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__58861bp__000062||full	89s	seasonal	90	89	58656	No	NA	90	37	0	High-quality	High-quality	97	AAI-based (high-confidence)	0	1	54	NA	NA	NA	NA	NA	Vibrio	2019-Aug-viral-fraction__viral-spades-short__as-yet-unknown__58861bp__000062||full_CDS_0018
2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__31645bp__000377||full	42s	seasonal	67	42	31641	No	NA	38	9	1	Medium-quality	Genome-fragment	51.54	AAI-based (high-confidence)	0	1	653	NA	NA	NA	NA	NA	Vibrio	2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__31645bp__000377||full_CDS_0026
2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__43814bp__000179||full	24s	seasonal	25	24	43766	No	NA	62	20	1	Medium-quality	Genome-fragment	70.73	AAI-based (high-confidence)	0	1	624	631	NA	NA	NA	NA	Methylocaldum	2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__43814bp__000179||full_CDS_0034
2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__46153bp__000156||full	6s	seasonal	32	6	46150	No	NA	56	24	0	Medium-quality	Genome-fragment	79.73	AAI-based (high-confidence)	0	1	531	523	NA	NA	NA	NA	Methylocaldum	2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__46153bp__000156||full_CDS_0007
2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__47583bp__000139||full	24s	seasonal	25	24	47580	No	NA	71	29	0	Medium-quality	Genome-fragment	84.14	AAI-based (high-confidence)	0	1	531	523	NA	NA	NA	NA	Vibrio	2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__47583bp__000139||full_CDS_0016
2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__52029bp__000104||full	68s	seasonal	95	68	52001	No	NA	79	26	1	Medium-quality	Genome-fragment	83.91	AAI-based (high-confidence)	0	1	29	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__52029bp__000104||full_CDS_0059
2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__57936bp__000069||full	83s	seasonal	93	83	57809	No	NA	91	37	0	High-quality	High-quality	96.82	AAI-based (high-confidence)	0	1	53	NA	NA	NA	NA	NA	Vibrio	2019-Dec-viral-fraction__viral-spades-short__as-yet-unknown__57936bp__000069||full_CDS_0071
2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__22650bp__000887||full	84s	seasonal	59	84	22650	No	NA	27	4	0	Medium-quality	Genome-fragment	59.08	AAI-based (medium-confidence)	0	1	1476	1477	NA	NA	NA	NA	Nocardiopsis	2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__22650bp__000887||full_CDS_0017
2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__37250bp__000277||full	17s	seasonal	14	17	37196	No	NA	41	15	0	Medium-quality	Genome-fragment	64.37	AAI-based (high-confidence)	0	1	729	NA	NA	NA	NA	NA	Vibrio	2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__37250bp__000277||full_CDS_0024
2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__42196bp__000191||full	34s	seasonal	5	34	42168	No	NA	67	18	1	Medium-quality	Genome-fragment	71.71	AAI-based (high-confidence)	0	1	1385	497	498	NA	NA	NA	Vibrio	2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__42196bp__000191||full_CDS_0053
2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__44191bp__000169||full	1s	seasonal	1	1	44189	No	NA	56	11	0	Medium-quality	Genome-fragment	83.98	AAI-based (high-confidence)	0	1	582	NA	NA	NA	NA	NA	Roseburia	2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__44191bp__000169||full_CDS_0050
2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__45234bp__000158||full	19s	seasonal	1	19	45233	No	NA	66	23	0	Medium-quality	Genome-fragment	73.48	AAI-based (high-confidence)	0	1	281	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__45234bp__000158||full_CDS_0045
2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__53323bp__000096||full	5s	seasonal	29	5	53320	No	NA	76	27	0	High-quality	High-quality	92.61	AAI-based (high-confidence)	0	1.01	523	531	NA	NA	NA	NA	Vibrio	2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__53323bp__000096||full_CDS_0016
2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__60471bp__000054||full	54s	seasonal	20	54	60469	No	NA	96	29	0	High-quality	High-quality	97.7	AAI-based (high-confidence)	0	1	281	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Jan-viral-fraction__viral-spades-short__as-yet-unknown__60471bp__000054||full_CDS_0067
2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__30586bp__000257||full	70s	seasonal	76	70	30290	No	NA	46	12	0	Medium-quality	Genome-fragment	50.4	AAI-based (high-confidence)	0	1	648	NA	NA	NA	NA	NA	Vibrio	2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__30586bp__000257||full_CDS_0032
2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__30707bp__000255||full	83s	seasonal	86	83	30706	No	NA	42	14	1	Medium-quality	Genome-fragment	53.35	AAI-based (high-confidence)	0	1	38	36	NA	NA	NA	NA	Methylocaldum	2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__30707bp__000255||full_CDS_0006
2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__31093bp__000247||full	89s	seasonal	92	89	31056	No	NA	39	12	0	Medium-quality	Genome-fragment	51.13	AAI-based (medium-confidence)	0	1	653	NA	NA	NA	NA	NA	Vibrio	2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__31093bp__000247||full_CDS_0032
2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__32494bp__000219||full	26s	seasonal	28	26	32494	No	NA	45	13	0	Medium-quality	Genome-fragment	50.33	AAI-based (high-confidence)	0	1	647	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__32494bp__000219||full_CDS_0025
2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__35697bp__000168||full	82s	seasonal	85	82	35694	No	NA	52	18	0	Medium-quality	Genome-fragment	58.78	AAI-based (high-confidence)	0	1	1075	420	NA	NA	NA	NA	Methylocaldum	2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__35697bp__000168||full_CDS_0040
2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__40042bp__000131||full	14ns	non.seasonal	15	14	39877	No	NA	65	31	0	Medium-quality	Genome-fragment	64.12	AAI-based (high-confidence)	0	1	28	NA	NA	NA	NA	NA	Vibrio	2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__40042bp__000131||full_CDS_0065
2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__56693bp__000048||full	43s	seasonal	73	43	56691	No	NA	85	30	0	High-quality	High-quality	94.13	AAI-based (high-confidence)	0	1	648	653	NA	NA	NA	NA	Vibrio	2019-Jul-viral-fraction__viral-spades-short__as-yet-unknown__56693bp__000048||full_CDS_0071
2019-Jun-viral-fraction__viral-spades-short__as-yet-unknown__36663bp__000144||full	95s	seasonal	24	95	36661	No	NA	54	15	0	Medium-quality	Genome-fragment	59.6	AAI-based (high-confidence)	0	1	281	NA	NA	NA	NA	NA	Acidovorax	2019-Jun-viral-fraction__viral-spades-short__as-yet-unknown__36663bp__000144||full_CDS_0026
2019-Jun-viral-fraction__viral-spades-short__as-yet-unknown__39578bp__000125||full	81s	seasonal	88	81	39574	No	NA	54	22	0	Medium-quality	Genome-fragment	66.87	AAI-based (high-confidence)	0	1	1065	526	NA	NA	NA	NA	Vibrio	2019-Jun-viral-fraction__viral-spades-short__as-yet-unknown__39578bp__000125||full_CDS_0021
2019-Jun-viral-fraction__viral-spades-short__as-yet-unknown__40912bp__000110||full	73s	seasonal	79	73	40909	No	NA	47	9	0	Medium-quality	Genome-fragment	73.06	AAI-based (high-confidence)	0	1	36	NA	NA	NA	NA	NA	Methylocaldum	2019-Jun-viral-fraction__viral-spades-short__as-yet-unknown__40912bp__000110||full_CDS_0030
2019-Jun-viral-fraction__viral-spades-short__as-yet-unknown__56813bp__000034||full	49s	seasonal	51	49	56683	No	NA	72	30	0	High-quality	High-quality	96.83	AAI-based (high-confidence)	0	1.01	38	36	NA	NA	NA	NA	Methylocaldum	2019-Jun-viral-fraction__viral-spades-short__as-yet-unknown__56813bp__000034||full_CDS_0059
2019-Jun-viral-fraction__viral-spades-short__as-yet-unknown__62965bp__000020||full	81s	seasonal	88	81	62962	No	NA	94	27	1	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	635	631	NA	NA	NA	NA	Methylocaldum	2019-Jun-viral-fraction__viral-spades-short__as-yet-unknown__62965bp__000020||full_CDS_0064
2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__35755bp__000325||full	18s	seasonal	20	18	35754	No	NA	48	19	0	Medium-quality	Genome-fragment	57.81	AAI-based (high-confidence)	0	1	578	NA	NA	NA	NA	NA	Vibrio	2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__35755bp__000325||full_CDS_0026
2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__36488bp__000307||full	23s	seasonal	24	23	36485	No	NA	37	7	0	Medium-quality	Genome-fragment	61.81	AAI-based (medium-confidence)	0	1	36	NA	NA	NA	NA	NA	Methylocaldum	2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__36488bp__000307||full_CDS_0014
2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__41750bp__000228||full	92s	seasonal	93	92	41747	No	NA	52	22	0	Medium-quality	Genome-fragment	67.02	AAI-based (high-confidence)	0	1	28	NA	NA	NA	NA	NA	Vibrio	2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__41750bp__000228||full_CDS_0049
2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__46658bp__000178||full	1s	seasonal	17	1	46656	No	NA	67	20	0	Medium-quality	Genome-fragment	75.86	AAI-based (high-confidence)	0	1	281	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__46658bp__000178||full_CDS_0046
2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__47787bp__000167||full	85s	seasonal	66	85	47637	No	NA	70	22	0	Medium-quality	Genome-fragment	82.09	AAI-based (high-confidence)	0	1	28	NA	NA	NA	NA	NA	Acidovorax	2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__47787bp__000167||full_CDS_0029
2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__48511bp__000161||full	3s	seasonal	17	3	48510	No	NA	71	29	0	Medium-quality	Genome-fragment	77.36	AAI-based (high-confidence)	0	1	28	NA	NA	NA	NA	NA	Vibrio	2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__48511bp__000161||full_CDS_0020
2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__52750bp__000128||full	13s	seasonal	13	13	52740	No	NA	62	7	1	High-quality	High-quality	96.54	AAI-based (high-confidence)	0	1	767	NA	NA	NA	NA	NA	Roseburia	2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__52750bp__000128||full_CDS_0020
2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__57580bp__000096||full	18s	seasonal	37	18	57449	No	NA	76	25	0	High-quality	High-quality	97.6	AAI-based (high-confidence)	0	1	1065	526	NA	NA	NA	NA	Vibrio	2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__57580bp__000096||full_CDS_0012
2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__59621bp__000088||full	28s	seasonal	34	28	59619	No	NA	88	28	0	Medium-quality	Genome-fragment	75.92	HMM-based (lower-bound)	0	1.01	1768	NA	NA	NA	NA	NA	Methylocaldum	2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__59621bp__000088||full_CDS_0023
2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__60196bp__000083||full	10s	seasonal	15	10	60192	No	NA	87	36	0	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	23	NA	NA	NA	NA	NA	Vibrio	2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__60196bp__000083||full_CDS_0088
2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__62423bp__000077||full	53s	seasonal	33	53	62419	No	NA	85	26	0	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	635	631	NA	NA	NA	NA	Vibrio	2019-Mar-viral-fraction__viral-spades-short__as-yet-unknown__62423bp__000077||full_CDS_0055
2019-May-viral-fraction__viral-spades-short__as-yet-unknown__36751bp__000138||full	29s	seasonal	30	29	36749	No	NA	60	26	0	Medium-quality	Genome-fragment	58.85	AAI-based (high-confidence)	0	1	28	NA	NA	NA	NA	NA	Vibrio	2019-May-viral-fraction__viral-spades-short__as-yet-unknown__36751bp__000138||full_CDS_0008
2019-May-viral-fraction__viral-spades-short__as-yet-unknown__42588bp__000092||full	84s	seasonal	87	84	42552	No	NA	55	19	0	Medium-quality	Genome-fragment	67.81	AAI-based (high-confidence)	0	1	NA	NA	NA	NA	NA	NA	Vibrio	2019-May-viral-fraction__viral-spades-short__as-yet-unknown__42588bp__000092||full_CDS_0021
2019-May-viral-fraction__viral-spades-short__as-yet-unknown__55532bp__000045||full	74s	seasonal	28	74	55529	No	NA	76	24	0	High-quality	High-quality	98.7	AAI-based (high-confidence)	0	1	523	531	NA	NA	NA	NA	Vibrio	2019-May-viral-fraction__viral-spades-short__as-yet-unknown__55532bp__000045||full_CDS_0016
2019-Nov-viral-fraction__viral-spades-short__as-yet-unknown__32039bp__000345||full	34s	seasonal	94	34	31976	No	NA	41	16	0	Medium-quality	Genome-fragment	50.74	AAI-based (high-confidence)	0	1	281	NA	NA	NA	NA	NA	Candidatus Pelagibacter	2019-Nov-viral-fraction__viral-spades-short__as-yet-unknown__32039bp__000345||full_CDS_0002
2019-Nov-viral-fraction__viral-spades-short__as-yet-unknown__36767bp__000243||full	91s	seasonal	7	91	36763	No	NA	57	18	1	Medium-quality	Genome-fragment	54.85	AAI-based (high-confidence)	0	1	280	NA	NA	NA	NA	NA	Vibrio	2019-Nov-viral-fraction__viral-spades-short__as-yet-unknown__36767bp__000243||full_CDS_0061
2019-Nov-viral-fraction__viral-spades-short__as-yet-unknown__39089bp__000209||full	37s	seasonal	40	37	38801	No	NA	53	17	0	Medium-quality	Genome-fragment	63.84	AAI-based (high-confidence)	0	1	653	NA	NA	NA	NA	NA	Vibrio	2019-Nov-viral-fraction__viral-spades-short__as-yet-unknown__39089bp__000209||full_CDS_0032
2019-Nov-viral-fraction__viral-spades-short__as-yet-unknown__46490bp__000140||full	36s	seasonal	39	36	46488	No	NA	59	9	0	High-quality	High-quality	91.64	AAI-based (high-confidence)	0	1	582	NA	NA	NA	NA	NA	Roseburia	2019-Nov-viral-fraction__viral-spades-short__as-yet-unknown__46490bp__000140||full_CDS_0012
2019-Nov-viral-fraction__viral-spades-short__as-yet-unknown__54902bp__000092||full	37s	seasonal	25	37	54901	No	NA	64	21	0	High-quality	High-quality	92.65	AAI-based (high-confidence)	0	1	36	38	NA	NA	NA	NA	Methylocaldum	2019-Nov-viral-fraction__viral-spades-short__as-yet-unknown__54902bp__000092||full_CDS_0050
