final_kluster	contig	seasonal_pattern	klusters_tree_HC	klusters_tree_TsClust	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	RaFah_host_prediction	peaking	Closer_VC2	Accession_VC2	Status_VC2	VC_VC2	Level_VC2	Weight_VC2	Host_VC2	host_for_tree	BaltimoreGroup	Realm	Kingdom	Phylum	Class	Order	Family	Subfamily	Genus
100s	2021-Mar-viral-fraction__viral-spades-short__as-yet-unknown__18841bp__000789||full	seasonal	104	100	18840	No	NA	34	5	0	Medium-quality	Genome-fragment	51.56	AAI-based (medium-confidence)	0	1	ND	winter	n.a.	n.a.	Clustered	VC_339_0	F	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
100s	2021-Mar-viral-fraction__viral-spades-short__as-yet-unknown__26204bp__000372||full	seasonal	104	100	25772	No	NA	29	15	0	Medium-quality	Genome-fragment	65.6	AAI-based (high-confidence)	0	1	ND	winter		AP013544	Overlap (VC_91/VC_92)	n.a.	N17	12		other						n.a.	n.a.	O	O
100s	2021-Mar-viral-fraction__viral-spades-short__as-yet-unknown__31826bp__000228||full	seasonal	104	100	31702	No	NA	31	7	1	Medium-quality	Genome-fragment	55.92	AAI-based (high-confidence)	0	1	ND	winter	Pelagibacter phage Kolga EXVC016S	MT375529	Overlap (VC_180/VC_182)	n.a.	N6	4	Pelagibacter	PelagibacterVC2	Unclassified	Unclassified	n.a.	n.a.	n.a.	n.a.	Unclassified	O	O
100s	2021-Mar-viral-fraction__viral-spades-short__as-yet-unknown__31848bp__000227||full	seasonal	104	100	31844	No	NA	59	13	0	Medium-quality	Genome-fragment	58.63	AAI-based (high-confidence)	0	1	ND	winter	Puniceispirillum phage HMO-2011	GU557055	Clustered	VC_154_0	C4	64	Puniceispirillum	other	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Unclassified	Unclassified
100s	2021-Mar-viral-fraction__viral-spades-short__as-yet-unknown__33353bp__000206||full	seasonal	61	100	33350	No	NA	48	21	0	Medium-quality	Genome-fragment	56.11	AAI-based (high-confidence)	0	1	Caulobacter	winter		OQ594354	Clustered	VC_201_0	N36	16		other						n.a.	n.a.	O	O
100s	2021-Mar-viral-fraction__viral-spades-short__as-yet-unknown__49177bp__000077||full	seasonal	104	100	49176	No	NA	58	23	0	High-quality	High-quality	91.83	AAI-based (high-confidence)	0	1	ND	winter		MZ892993	Clustered	VC_163_0	N23	25		other						n.a.	n.a.	O	O
100s	2021-May-viral-fraction__viral-spades-short__as-yet-unknown__53526bp__000036||full	seasonal	104	100	53522	No	NA	58	25	0	High-quality	High-quality	91.14	AAI-based (high-confidence)	0	1	Methylocaldum	winter		MW202675	Clustered	VC_165_0	N121	2		other						n.a.	n.a.	O	O
100s	2021-May-viral-fraction__viral-spades-short__as-yet-unknown__63751bp__000012||full	seasonal	104	100	63748	No	NA	67	8	2	High-quality	High-quality	100	AAI-based (high-confidence)	0	1.01	ND	winter	n.a.	n.a.	Outlier	n.a.	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
101s	2019-May-viral-fraction__viral-spades-short__as-yet-unknown__42832bp__000091||full	seasonal	79	101	42547	No	NA	36	12	0	Medium-quality	Genome-fragment	69.44	AAI-based (medium-confidence)	0	1	Flavobacterium	spring	n.a.	n.a.	Clustered	VC_12_1	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
101s	2019-May-viral-fraction__viral-spades-short__as-yet-unknown__45501bp__000077||full	seasonal	75	101	45501	No	NA	32	5	2	Medium-quality	Genome-fragment	52.23	AAI-based (high-confidence)	0	1	Prevotella	spring	n.a.	n.a.	Clustered	VC_182_0	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
101s	2019-May-viral-fraction__viral-spades-short__as-yet-unknown__62669bp__000017||full	seasonal	79	101	62668	No	NA	70	15	1	High-quality	High-quality	98.19	AAI-based (high-confidence)	0	1	Fusobacterium	spring	n.a.	n.a.	Clustered	VC_230_0	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
101s	2020-Jul-viral-fraction__viral-spades-short__as-yet-unknown__13814bp__001752||full	seasonal	44	101	13708	No	NA	19	6	0	Medium-quality	Genome-fragment	70.32	AAI-based (high-confidence)	0	1.02	ND	spring	n.a.	n.a.	Clustered	VC_406_0	F	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
101s	2020-Jul-viral-fraction__viral-spades-short__as-yet-unknown__31793bp__000279||full	seasonal	79	101	31406	No	NA	38	16	0	Medium-quality	Genome-fragment	52.47	AAI-based (high-confidence)	0	1	Caulobacter	spring		OQ594354	Clustered	VC_201_0	N35	17		other						n.a.	n.a.	O	O
101s	2020-Jul-viral-fraction__viral-spades-short__as-yet-unknown__50620bp__000087||full	seasonal	44	101	50262	No	NA	50	14	0	Medium-quality	Genome-fragment	75.63	AAI-based (high-confidence)	0	1	Prevotella	spring	n.a.	n.a.	Clustered	VC_142_0	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
101s	2020-Jul-viral-fraction__viral-spades-short__as-yet-unknown__52041bp__000078||full	seasonal	44	101	51275	No	NA	68	21	1	Medium-quality	Genome-fragment	89.89	AAI-based (high-confidence)	0	1	Candidatus Pelagibacter	spring	n.a.	n.a.	Clustered	VC_170_0	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
101s	2020-Jul-viral-fraction__viral-spades-short__as-yet-unknown__55771bp__000056||full	seasonal	44	101	55749	No	NA	45	9	2	Medium-quality	Genome-fragment	64.62	AAI-based (medium-confidence)	0	1	Prevotella	spring	n.a.	n.a.	Clustered	VC_182_0	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
101s	2020-Jul-viral-fraction__viral-spades-short__as-yet-unknown__61078bp__000039||full	seasonal	44	101	60938	No	NA	78	26	1	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	Caulobacter	spring	n.a.	n.a.	Clustered	VC_180_0	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
101s	2020-Jul-viral-fraction__viral-spades-short__as-yet-unknown__63097bp__000033||full	seasonal	44	101	63095	No	NA	77	13	2	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	ND	spring		MW202828	Clustered	VC_21_0	C23	64		other						n.a.	n.a.		n.a.
101s	2020-Jul-viral-fraction__viral-spades-short__as-yet-unknown__70857bp__000025||full	seasonal	44	101	70662	No	NA	56	5	1	Medium-quality	Genome-fragment	58.72	AAI-based (high-confidence)	0	1	Parabacteroides	spring	n.a.	n.a.	Clustered	VC_352_1	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
101s	2020-Jul-viral-fraction__viral-spades-short__as-yet-unknown__82806bp__000016||full	seasonal	44	101	82601	No	NA	70	10	3	High-quality	High-quality	95.51	AAI-based (high-confidence)	0	1	Prevotella	spring	n.a.	n.a.	Clustered	VC_182_0	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
101s	2020-Mar-viral-fraction__viral-spades-short__as-yet-unknown__32600bp__000343||full	seasonal	79	101	32598	No	NA	31	13	0	Medium-quality	Genome-fragment	50.64	AAI-based (high-confidence)	0	1	Flavobacterium	spring	n.a.	n.a.	Outlier	n.a.	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
101s	2020-Mar-viral-fraction__viral-spades-short__as-yet-unknown__62497bp__000043||full	seasonal	44	101	62370	No	NA	82	22	1	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	Flavobacterium	spring	n.a.	n.a.	Clustered	VC_12_1	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
101s	2020-Nov-viral-fraction__viral-spades-short__as-yet-unknown__11751bp__002696||full	seasonal	75	101	11697	No	NA	18	6	0	Medium-quality	Genome-fragment	60	AAI-based (high-confidence)	0	1.01	ND	spring	n.a.	n.a.	Clustered	VC_406_0	F	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
101s	2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__27290bp__000344||full	seasonal	44	101	27287	No	NA	45	15	0	Medium-quality	Genome-fragment	51.82	AAI-based (high-confidence)	0	1	ND	spring	Pelagibacter phage HTVC115P	MN698247	Clustered	VC_194_0	N29	20	Pelagibacter	PelagibacterVC2	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	O	O
101s	2021-Jun-viral-fraction__viral-spades-short__as-yet-unknown__28480bp__000191||full	seasonal	79	101	28477	No	NA	17	11	0	Medium-quality	Genome-fragment	52.82	AAI-based (medium-confidence)	0	1	Escherichia	spring	n.a.	n.a.	Outlier	n.a.	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
101s	2021-Jun-viral-fraction__viral-spades-short__as-yet-unknown__33336bp__000128||full	seasonal	79	101	33238	No	NA	28	12	0	Medium-quality	Genome-fragment	54.81	AAI-based (medium-confidence)	0	1	Flavobacterium	spring	n.a.	n.a.	Outlier	n.a.	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
101s	2021-Jun-viral-fraction__viral-spades-short__as-yet-unknown__54979bp__000029||full	seasonal	83	101	54589	No	NA	74	22	0	High-quality	High-quality	98.7	AAI-based (high-confidence)	0	1	ND	spring		MZ892990	Clustered	VC_154_0	C3	133		other						n.a.	n.a.		n.a.
101s	2021-May-viral-fraction__viral-spades-short__as-yet-unknown__32970bp__000157||full	seasonal	44	101	32591	No	NA	41	13	0	Medium-quality	Genome-fragment	62.43	AAI-based (high-confidence)	0	1	ND	spring	Pelagibacter phage HTVC115P	MN698247	Clustered	VC_194_0	N38	9	Pelagibacter	PelagibacterVC2	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	O	O
102s	2019-Sep-viral-fraction__viral-spades-short__as-yet-unknown__62828bp__000026||full	seasonal	16	102	62826	No	NA	83	24	2	Medium-quality	Genome-fragment	60.28	HMM-based (lower-bound)	0	1	Prevotella	summer	n.a.	n.a.	Clustered	VC_142_0	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
102s	2020-Aug-viral-fraction__viral-spades-short__as-yet-unknown__15335bp__000954||full	seasonal	46	102	15049	No	NA	18	4	0	Medium-quality	Genome-fragment	53.66	AAI-based (medium-confidence)	0	1	Cutibacterium	summer	n.a.	n.a.	Singleton	n.a.	G	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
102s	2020-Aug-viral-fraction__viral-spades-short__as-yet-unknown__20956bp__000460||full	seasonal	46	102	20954	No	NA	37	14	0	Medium-quality	Genome-fragment	58.98	AAI-based (high-confidence)	0	1	Comamonas	summer		MW202879	Outlier	n.a.	N34	1		other						n.a.	n.a.	O	O
102s	2020-Aug-viral-fraction__viral-spades-short__as-yet-unknown__22160bp__000403||full	seasonal	46	102	22132	No	NA	29	13	0	Medium-quality	Genome-fragment	66.07	AAI-based (high-confidence)	0	1	Comamonas	summer		OQ984150	Clustered	VC_119_0	C7	18		other						n.a.	n.a.		n.a.
102s	2020-Aug-viral-fraction__viral-spades-short__as-yet-unknown__23915bp__000345||full	seasonal	91	102	23877	No	NA	33	15	0	Medium-quality	Genome-fragment	72.53	AAI-based (high-confidence)	0	1	Candidatus Pelagibacter	summer	Pelagibacter phage HTVC028P	MW273921	Clustered	VC_37_0	C41	8	Pelagibacter	PelagibacterVC2	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Unclassified	Unclassified
102s	2020-Aug-viral-fraction__viral-spades-short__as-yet-unknown__30302bp__000207||full	seasonal	16	102	30175	No	NA	46	16	0	High-quality	High-quality	96.52	AAI-based (high-confidence)	0	1	Bacteroides	summer	n.a.	n.a.	Clustered	VC_127_0	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
102s	2020-Aug-viral-fraction__viral-spades-short__as-yet-unknown__37455bp__000124||full	seasonal	46	102	37197	No	NA	47	19	1	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	Pseudomonas	summer	n.a.	n.a.	Clustered	VC_29_0	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
102s	2020-Nov-viral-fraction__viral-spades-short__as-yet-unknown__13245bp__002092||full	seasonal	16	102	13244	No	NA	14	8	0	Medium-quality	Genome-fragment	52.2	AAI-based (medium-confidence)	0	1	ND	summer	Pelagibacter phage HTVC112P	MN698246	Clustered	VC_27_0	N30	6	Pelagibacter	PelagibacterVC2	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	O	O
102s	2020-Nov-viral-fraction__viral-spades-short__as-yet-unknown__61514bp__000042||full	seasonal	46	102	57634	No	NA	87	32	0	High-quality	High-quality	99.99	AAI-based (high-confidence)	0	1	Methylocaldum	summer		MW202675	Clustered	VC_39_1	N73	8		other						n.a.	n.a.	O	O
102s	2020-Oct-viral-fraction__viral-spades-short__as-yet-unknown__36713bp__000166||full	seasonal	46	102	36713	No	NA	32	11	0	Medium-quality	Genome-fragment	60.07	AAI-based (high-confidence)	0	1	Elizabethkingia	summer	n.a.	n.a.	Clustered	VC_136_0	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
102s	2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__17911bp__000876||full	seasonal	46	102	17908	No	NA	27	0	1	Medium-quality	Genome-fragment	58.68	AAI-based (medium-confidence)	0	1	Pseudomonas	summer	n.a.	n.a.	Outlier	n.a.	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
102s	2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__19263bp__000757||full	seasonal	46	102	19260	No	NA	34	6	1	Medium-quality	Genome-fragment	62.3	AAI-based (high-confidence)	0	1	Prevotella	summer	n.a.	n.a.	Overlap (VC_50/VC_151)	n.a.	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
102s	2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__21423bp__000609||full	seasonal	16	102	21421	No	NA	33	7	0	Medium-quality	Genome-fragment	69.7	AAI-based (high-confidence)	0	1	Bacteroides	summer	Nonlabens phage P12024L	JQ823123	Clustered	VC_47_0	N95	11	Nonlabens	other	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	O	O
102s	2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__23550bp__000494||full	seasonal	16	102	23548	No	NA	39	8	0	Medium-quality	Genome-fragment	77.69	AAI-based (high-confidence)	0	1	ND	summer	n.a.	n.a.	Clustered	VC_19_0	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
102s	2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__23955bp__000482||full	seasonal	16	102	23892	No	NA	29	3	0	Medium-quality	Genome-fragment	78.63	AAI-based (high-confidence)	0	1	Pseudomonas	summer	n.a.	n.a.	Clustered	VC_173_0	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
102s	2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__24371bp__000459||full	seasonal	46	102	24369	No	NA	34	19	0	Medium-quality	Genome-fragment	73.35	AAI-based (medium-confidence)	0	1	ND	summer	Sinorhizobium phage phi3LM21	MF614628	Clustered	VC_28_0	N54	2	Sinorhizobium	other	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	O	O
102s	2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__26772bp__000363||full	seasonal	46	102	26549	No	NA	50	14	2	Medium-quality	Genome-fragment	50.89	AAI-based (high-confidence)	0	1	Vibrio	summer	n.a.	n.a.	Outlier	n.a.	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
102s	2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__32724bp__000211||full	seasonal	46	102	32722	No	NA	46	11	0	Medium-quality	Genome-fragment	89.48	AAI-based (medium-confidence)	0	1	ND	summer		MW202898	Clustered	VC_316_0	N2	10		other						n.a.	n.a.	O	O
102s	2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__32802bp__000209||full	seasonal	46	102	32709	No	NA	53	21	0	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	ND	summer	n.a.	n.a.	Clustered	VC_28_0	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
102s	2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__34936bp__000178||full	seasonal	16	102	34805	No	NA	48	16	0	Medium-quality	Genome-fragment	89.43	AAI-based (high-confidence)	0	1	ND	summer		AP013544	Overlap (VC_91/VC_92)	n.a.	N17	20		other						n.a.	n.a.	O	O
102s	2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__36178bp__000166||full	seasonal	16	102	36175	No	NA	55	20	0	High-quality	High-quality	98.51	AAI-based (high-confidence)	0	1	Caulobacter	summer		MW202879	Clustered	VC_33_0	N14	15		other						n.a.	n.a.	O	O
102s	2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__42580bp__000101||full	seasonal	46	102	42580	No	NA	34	15	0	Medium-quality	Genome-fragment	70.77	AAI-based (medium-confidence)	0	1	Flavobacterium	summer	n.a.	n.a.	Clustered	VC_12_1	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
102s	2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__44900bp__000088||full	seasonal	16	102	44544	No	NA	42	13	0	Medium-quality	Genome-fragment	73.46	AAI-based (high-confidence)	0	1	ND	summer		MW202828	Clustered	VC_21_0	C10	57		other						n.a.	n.a.		n.a.
102s	2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__48079bp__000073||full	seasonal	46	102	48076	No	NA	70	24	0	Medium-quality	Genome-fragment	86.94	AAI-based (high-confidence)	0	1	ND	summer	Roseobacter phage CRP-1	MK613343	Clustered	VC_154_0	C1	148	Roseobacter	other	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Unclassified	Unclassified
102s	2020-Sep-viral-fraction__viral-spades-short__as-yet-unknown__57779bp__000042||full	seasonal	16	102	57652	No	NA	64	20	0	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	ND	summer		MZ892992	Clustered	VC_158_0	C3	84		other						n.a.	n.a.		n.a.
103s	2020-Dec-viral-fraction__viral-spades-short__as-yet-unknown__15608bp__001198||full	seasonal	105	103	15606	No	NA	19	4	0	Medium-quality	Genome-fragment	64.06	AAI-based (high-confidence)	0	1	Pseudomonas	summer	n.a.	n.a.	Clustered	VC_8_0	F	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
103s	2020-Nov-viral-fraction__viral-spades-short__as-yet-unknown__31225bp__000322||full	seasonal	98	103	31225	No	NA	50	21	1	Medium-quality	Genome-fragment	54.74	AAI-based (high-confidence)	0	1	ND	summer	Puniceispirillum phage HMO-2011	GU557055	Clustered	VC_178_0	N3	26	Puniceispirillum	other	Group I	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	O	O
103s	2020-Nov-viral-fraction__viral-spades-short__as-yet-unknown__47504bp__000113||full	seasonal	98	103	47413	No	NA	48	11	1	Medium-quality	Genome-fragment	73.21	AAI-based (high-confidence)	0	1	Flavobacterium	summer	n.a.	n.a.	Clustered	VC_142_0	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
103s	2020-Oct-viral-fraction__viral-spades-short__as-yet-unknown__12794bp__001957||full	seasonal	105	103	12791	No	NA	16	3	1	Medium-quality	Genome-fragment	52.53	AAI-based (high-confidence)	0	1	Pseudomonas	summer	n.a.	n.a.	Clustered	VC_8_0	F	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
103s	2020-Oct-viral-fraction__viral-spades-short__as-yet-unknown__16447bp__001113||full	seasonal	105	103	15877	No	NA	20	4	0	Medium-quality	Genome-fragment	66.1	AAI-based (medium-confidence)	0	1	Bacteroides	summer	n.a.	n.a.	Clustered	VC_8_0	F	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
103s	2020-Oct-viral-fraction__viral-spades-short__as-yet-unknown__19777bp__000749||full	seasonal	98	103	19763	No	NA	20	9	0	Medium-quality	Genome-fragment	55.51	AAI-based (high-confidence)	0	1.01	Candidatus Pelagibacter	summer		OQ414635	Clustered	VC_54_0	N12	16		other						n.a.	n.a.	O	O
103s	2020-Oct-viral-fraction__viral-spades-short__as-yet-unknown__22130bp__000583||full	seasonal	98	103	22129	No	NA	30	8	0	Medium-quality	Genome-fragment	71.18	AAI-based (high-confidence)	0	1	Prevotella	summer	n.a.	n.a.	Overlap (VC_50/VC_151)	n.a.	A	n.a.	n.a.	other	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
